qual	bucket	rationale
C_Ψ₂Sq	NO-mathlib-has-it	existing mathlib lemma. This is a known, intentional duplication (the project
C_Ψ₃_eq	NO-composable-from-mathlib	- Qualified name: WeierstrassCurve.C_Ψ₃_eq
EvenRec	NO-mathlib-has-it	(human-judgment caveat below: the PR is long-stalled; a human may reclassify to YES if upstream is dead)
HaveSameParity₄	NO-composable-from-mathlib	- lake build:               not re-run (env: local build stale); decl reasoned from source
IsDivSequence	NO-mathlib-has-it	Qualified name: IsDivSequence (root namespace).
IsEllDivSequence	NO-mathlib-has-it	fork of an existing mathlib definition (same file, same author David Kurniadi
IsEllSequence.invar	YES-but-generalise-first	One-line: not in mathlib (this apparatus closes the standing normEDS satisfies IsEllDivSequence
IsEllSequence	NO-mathlib-has-it	Qualified name: IsEllSequence (declared def _root_.IsEllSequence inside namespace EllSequence,
OddRec	BORDERLINE-needs-human	One-line rationale: Not in mathlib; standard "elliptic ⇒ odd recurrence" but a one-call glue lemma over project-only OddRec/rel₃_iff_oddRec 
Rel₃	NO-composable-from-mathlib	- Qualified name: EllSequence.Rel₃
Rel₄OfValid	NO-composable-from-mathlib	Step-9 mathlibable assessment, NagellLutz project (Nagell–Lutz theorem; elliptic
StrictAnti₄	NO-composable-from-mathlib	bundle (0 ≤ d ∧ d < c ∧ c < b ∧ b < a); not a named concept, not in mathlib, and the
addMulSub	YES-but-generalise-first	- Qualified name: EllSequence.addMulSub
addMulSub_abs₀	NO-composable-from-mathlib	Step-9 mathlibable assessment, NagellLutz project. Single declaration.
addMulSub_abs₁	NO-composable-from-mathlib	Step-9 (overview) mathlibable assessment, NagellLutz project (Nagell–Lutz theorem; elliptic
addMulSub_even	NO-composable-from-mathlib	One-line rationale: an unfolding lemma for the project-local helper addMulSub
addMulSub_mem_nonZeroDivisors	NO-composable-from-mathlib	- lake build:               (not re-run — local build stale per task note; reasoning from source)
addMulSub_neg₀	YES-but-generalise-first	structural lemma about the project-local def EllSequence.addMulSub, which is itself not in
addMulSub_neg₁	NO-composable-from-mathlib	EllSequence.addMulSub (which is itself absent from mathlib). It cannot be a standalone mathlib
addMulSub_odd	YES-but-generalise-first	- Qualified name: EllSequence.addMulSub_odd (verified from source)
addMulSub_same	BORDERLINE-needs-human	One-line rationale: trivial helper (addMulSub W m m = W m · W 0 = 0) about the
addMulSub_sq_mul_rel₄_eq₉	NO-composable-from-mathlib	(ring) identity in the values of W, proved by simp_rw [rel₆, rel₄]; ring. It says
addMulSub_swap	YES-but-generalise-first	lemma about the project-local def EllSequence.addMulSub, which is itself not in mathlib. The
addMulSub_three_one	BORDERLINE-needs-human	- Project: NagellLutz (Nagell–Lutz; elliptic curves; division polynomials; elliptic divisibility sequences)
addMulSub_transf	BORDERLINE-needs-human	_Step-9 single-declaration mathlibable assessment (AINTLIB /overview), NagellLutz project._
addMulSub_two_zero	NO-composable-from-mathlib	- lake build:               not run (local build stale per task note); reasoning from source.
addMulSub₄	NO-composable-from-mathlib	is a one-line, project-internal proof abbreviation: a hybrid two-factor product splicing one
addMulSub₄_mul_addMulSub₄	NO-mathlib-has-it	- Qualified name: EllSequence.HaveSameParity₄.addMulSub₄_mul_addMulSub₄
avg₄	NO-composable-from-mathlib	project-internal proof abbreviation over ℤ. It is mathlib's integer division; it has no
avg₄_add_avg₄	NO-composable-from-mathlib	- Project: NagellLutz (Nagell–Lutz; elliptic curves; division polynomials; EDS)
cMin	NO-composable-from-mathlib	is a one-line, project-internal ℤ → ℤ proof helper: the smallest valid third index of the same
collapses	BORDERLINE-needs-human	- lake build:               not run (stale local build; irrelevant — see below)
compl'	YES-but-generalise-first	(mathlib already has the special case of this definition; the value of compl' is precisely the
