qual	bucket	rationale
PadicLFunctions.Coleman.Fglobal	NO-composable-from-mathlib	alias, definitionally equal to the mathlib primitive ℚ⟮zetaSys p n⟯
PadicLFunctions.Coleman.FglobalPlus	BORDERLINE-needs-human	Mode A, full 10-phase workflow, exhaustive literature sweep.
PadicLFunctions.Coleman.FglobalPlus_le_Fglobal	NO-composable-from-mathlib	This is a Mode A run (single declaration, full 10-phase workflow, exhaustive
PadicLFunctions.Coleman.Fglobal_le_K	NO-composable-from-mathlib	A thin, project-local base-change inclusion ℚ(ζ) ⊆ ℚ_p(ζ) (both inside ℂ_[p]). Mathlib
PadicLFunctions.Coleman.cycloClosure	NO-composable-from-mathlib	𝒞_n of the cyclotomic units inside the local units — is a standard, named object
PadicLFunctions.Coleman.cycloClosureOne	NO-composable-from-mathlib	project-specific subgroups; not a standalone mathlib object).
PadicLFunctions.Coleman.cycloClosureOnePlus	NO-composable-from-mathlib	two project-specific subgroups; not a standalone mathlib object).
PadicLFunctions.Coleman.cycloClosurePlus	NO-composable-from-mathlib	Subgroup intersection cycloClosure p n ⊓ localUnitsPlus p n (= 𝒞_n ∩ 𝒰_n⁺), a
PadicLFunctions.Coleman.cycloGenSet	YES-but-generalise-first	- lake build:               build not re-run; reasoned from source (BUILD NOTE in task; Phase-0 fallback). The declaration and all dependenc
PadicLFunctions.Coleman.cycloTower1	NO-composable-from-mathlib	(⨅ n, comap (elemsₙ) (cycloClosureOne n)) whose content is entirely project-specific
PadicLFunctions.Coleman.cycloTower1Plus	NO-composable-from-mathlib	wrapper (⨅_n comap eval_n (cycloClosureOnePlus n)) over a project structure
PadicLFunctions.Coleman.cycloTower1_le_unitsTower1	NO-composable-from-mathlib	- lake build:               build not re-run; reasoned from source (per task build note — a fresh
PadicLFunctions.Coleman.cycloUnits	BORDERLINE-needs-human	cyclotomic units (only per-element associatedness facts in
PadicLFunctions.Coleman.cycloUnitsPlus	BORDERLINE-needs-human	real cyclotomic units 𝒟_n ∩ F_n⁺ — a textbook-standard object (Wikipedia's "real
PadicLFunctions.Coleman.cycloUnits_le_globalUnits	NO-composable-from-mathlib	cyclotomic units 𝒟_n = cycloUnits p n are contained in the global units
PadicLFunctions.Coleman.globalUnits	NO-mathlib-has-it	the project's declaration is a project-specific re-presentation of it embedded in ℂ_[p]).
PadicLFunctions.Coleman.globalUnitsPlus	NO-mathlib-has-it	NumberField.CMExtension.realUnits; the project's declaration is a project-specific
PadicLFunctions.Coleman.globalUnits_le_localUnits	NO-composable-from-mathlib	Mode A, full 10-phase workflow with the exhaustive 9-channel literature search.
PadicLFunctions.Coleman.isIntegral_cycloUnit	YES-but-generalise-first	Mode A, full 10-phase workflow with the exhaustive 9-channel literature search.
PadicLFunctions.Coleman.norm_le_one_of_isIntegral_int	NO-mathlib-has-it	Mode A, full 10-phase workflow with the exhaustive 9-channel literature search.
